glotto;language name;latitude;longitude;comment;Source;date of entry;link to source;family;Kinship;Pronouns;ISO;location
yand1253;Yandruwandha;-28.47;140.58;;Gavan Breen. 2004. Innamincka talk: A grammar of the Innamincka dialect of Yandruwandha with notes on other dialects. (Pacific Linguistics, 558.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xvii+245pp.;20161201;http://glottolog.org/resource/reference/id/164698;Pama-Nyungan;x;;;
mana1288;Manage;28.64;84.05;;Kristine A. Hildebrandt. 2004. A Grammar and Glossary of the Manange Language. In Carol Genetti (ed.), Tibeto-Burman Languages of Nepal: Manange and Sherpa, 2-189. Canberra: Research School of Pacific and Asian Studies, Australian National University. (Own chapter in book).;20161201;http://glottolog.org/resource/reference/id/113198;Sino-Tibetan;x;;;
prak1243;Prakaa;28.63;84.04;;Kristine A. Hildebrandt. 2004. A Grammar and Glossary of the Manange Language. In Carol Genetti (ed.), Tibeto-Burman Languages of Nepal: Manange and Sherpa, 2-189. Canberra: Research School of Pacific and Asian Studies, Australian National University. (Own chapter in book).;20161201;http://glottolog.org/resource/reference/id/113198;Sino-Tibetan;x;;;
sher1255;Sherpa;27.67;87.00;;Barbara Kelly. 2004. A Grammar and Glossary of the Sherpa Language. In Carol Genetti (ed.), Tibeto-Burman Languages of Nepal: Manange and Sherpa, 193-324. Canberra: Research School of Pacific and Asian Studies, Australian National University. (Own chapter in book).;20161201;http://glottolog.org/resource/reference/id/100639;Sino-Tibetan;x;;;
kris1246;I'saka (Krisa);-2.80;141.28;;Donohue, Mark and San Roque, Lila. 2004. I'saka: a sketch grammar of a language of north-central New Guinea. (Pacific Linguistics, 554.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xvii+131pp.;20161201;http://glottolog.org/resource/reference/id/49601;Sko;x;;;
duun1241;Duungidjawu;-26.25;151.87;;Suzanne Kite and Stephen Wurm. 2004. The Duuŋidjawu language of southeast Queensland: grammar, texts and vocabulary. (Pacific Linguistics, 553.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiv+298pp. ("This is a slightly revised version of the MA Thesis by Suzanne Kite (ANU 2000) …");20161201;http://glottolog.org/resource/reference/id/1654;Pama-Nyungan;x;;;
warr1257;Warrnambool;-38.34;142.46;;Barry J. Blake. 2003. The Warrnambool Language: A consolidated account of the Aboriginal language of the Warrnambool area of the Western District of Victoria based on nineteenth-century sources. (Pacific Linguistics, 544.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+223pp;20161201;http://glottolog.org/resource/reference/id/120945;Pama-Nyungan;x;;;
kipu1237;Kiput;4.17;114.37;;Robert Blust. 2003. A short morphology, phonology and vocabulary of Kiput, Sarawak. (Pacific Linguistics, 546.) Canberra: Research School of Pacific and Asian Studies, Australian National University. vii+102pp.;20161202;http://glottolog.org/resource/reference/id/115492;Austronesian;x;;;
bung1264;Bunganditj;-38.35;142.45;-ngayn (-ine) = my, -ngun (-on) = your, -n[h]ung = his/her;Barry J. Blake. 2003. The Bunganditj (Buwandik) Language of the Mount Gambier Region. (Pacific Linguistics, 549.) Pacific Linguistics. Research School of Pacific and Asian Studies: The Australian National University: Canberra: Research School of Pacific and Asian Studies, Australian National University. xiv+155pp;20161202;http://glottolog.org/resource/reference/id/153741;Pama-Nyungan;x;;;
buin1247;Buin;-6.63;155.46;;Laycock, Donald C. 2003. A dictionary of Buin. A language of Bougainville. Ed.: Masayuki Onishi. Canberra: Pacific Linguistics 537. Australian National University. Canberra 2003.;20161202;http://glottolog.org/resource/reference/id/79195;South Bougainville;x;;;
jingXXX2;Jingulu2;-19.64;134.16;;Robert Pensalfini. A grammar of Jingulu, An Aboriginal language of the Northern Teritory. Pacific Linguistics 536. Canberra 2003.;20161202;http://glottolog.org/resource/reference/id/316432;Unknown;x;;;
gras1249;Koiari (Grass Koiari);-9.51;147.44;;Dutton, Tom. 2003. A Dictionary of Koiari, Papua New Guinea: with grammar notes. (Pacific Linguistics, 534.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xxvi+424pp.;20161205;http://glottolog.org/resource/reference/id/101683;Koiarian;x;;;
kyak1244;Kyaka;-5.52;144.12;;Draper, Norm and Draper, Sheila. 2002. Dictionary of Kyaka Enga: Papua New Guinea. (Pacific Linguistics, 532.) Canberra: Pacific Linguistics. viii+709pp.;20161205;http://glottolog.org/resource/reference/id/91175;Nuclear Trans New Guinea;x;;;
dhar1248;Dharumbal;-24.98;151.70;;Angela Terrill. 2002. Dharumbal: the language of Rockhampton, Australia. (Pacific Linguistics, 525.) Canberra: Research School of Pacific and Asian Studies, Australian National University. ix+108pp.;20161205;http://glottolog.org/resource/reference/id/1914;Pama-Nyungan;x;;;
sougXXXX;Sough;-1.36;133.63;ind-, in- = 1SG. my;Ger P. Reesink. A grammar sketch of Sough. IN: Languages of the eastern Bird's Head. Edited by Ger Reesink. Pacific Linguistics 524. Canberra 2002.;20161205;http://glottolog.org/resource/reference/id/34679;Unknown;x;;;
arak1252;Araki;-15.63;166.94;;Alexandre François. 2002. Araki: A disappearing language of Vanuatu. (Pacific Linguistics, 522.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xviii+353pp.;20161205;http://glottolog.org/resource/reference/id/97023;Austronesian;x;;;
limi1242;Limilngan;-12.43;131.84;;Mark Harvey. 2001. A Grammar of Limilngan: A Language of the Mary River region Northern Territory Australia. (Pacific Linguistics, 516.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xii+209pp;20161205;http://glottolog.org/resource/reference/id/300875;Limilngan-Wulna;x;;;
anei1239;Anejom;-20.19;169.82;;Lynch, John and Tepahae, Philip. 2001. Anejom dictionary Diksonari blong Anejom. (Pacific Linguistics, 510.) Canberra: Pacific Linguistics. 450pp.;20161207;http://glottolog.org/resource/reference/id/139817;Austronesian;x;;;
bala1314;Balaesang;-0.06;119.69;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
damp1237;Dampelas;0.70;120.22;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
taje1237a;Petapa Taje;-0.73;120.08;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
taje1237b;Tanampedagi Taje;-0.49;119.99;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
pend1242;Pendau;-0.11;119.86;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
taji1246;Tajio;-0.32;120.01;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
ampi1237;Ampibabo Lauje;-0.38;119.99;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
lauj1238;Lauje;0.51;120.26;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
tomi1243;Tialo (Tomini);0.43;120.89;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
dond1249;Dondo;0.80;120.71;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
toto1304;Totoli;1.15;120.88;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
boan1243;Boano (Sulawesi);0.51;120.99;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;
siee1239;Sie (Sye);-18.82;169.17;;Crowley, Terry. 2000. An Erromangan (Sye) dictionary. (Pacific Linguistics, 508.) Canberra: Pacific Linguistics. xxxi+250pp.;20161208;http://glottolog.org/resource/reference/id/41979;Austronesian;x;;;
chep1245;Chepang;27.72;84.90;;Caughley, Ross C. 2000. Dictionary of Chepang: a Tibeto-Burman language of Nepal. (Pacific Linguistics, 502.) Canberra: Research School of Pacific and Asian Studies, Australian National University. ix+540pp.;20161208;http://glottolog.org/resource/reference/id/141638;Sino-Tibetan;x;;;
moro1287;Moronene;-4.62;121.82;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
kaba1285;Tokotu'a (Kabaena);-5.27;121.79;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
tola1247;Tolaki;-4.04;121.89;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
kuli1254;Kulisusu;-4.58;123.05;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
koro1311;Koroni;-2.64;121.98;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
wawo1239;Wawonii;-4.14;123.10;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
menu1237;Menui;-3.59;123.11;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
land1259;Landawe;-3.01;122.22;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
tula1253;Tulambatu;-3.05;122.28;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
waia1242;Waia;-3.08;122.32;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
tore1237;Torete;-3.01;122.24;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
bung1269;Bungku;-3.22;122.21;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
rout1237;Routa;-2.87;121.60;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
baho1237;Bahonsuai;-2.23;121.71;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
mori1268;Mori Bawah;-2.56;121.37;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
pado1242;Padoe;-2.61;121.24;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
mori1269;Mori Atas;-2.26;121.03;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
toma1248;Tomadino;-2.56;121.94;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
waru1266;Waru;-3.41;122.06;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
lalo1239;Lalomerui;-3.47;122.00;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
wiwi1237;Wiwirano;-4.47;121.62;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
aser1237;Asera;-5.06;121.90;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
kona1243;Konawe;-4.09;122.28;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
meko1237;Mekongga;-4.04;121.58;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
laiw1239;Laiwui;-3.63;121.54;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
raha1237;Rahambuu;-3.25;121.06;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
kode1237;Kodeoha;-3.40;120.94;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;
urav1235;Ura;-18.67;169.08;;Crowley, Terry. 1999. Ura: a disappearing language of Southern Vanuatu. (Pacific Linguistics: Series C, 156.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+226pp.;20170105;http://glottolog.org/resource/reference/id/62308;Austronesian;x;;;
wath1238;Wathawurrung;-37.69;144.10;;Barry J. Blake, Ian Clark and Sharnthi H. Krishna-Pillay. Wathawurrung: The language of the Geelong-Ballarat Area. IN: Barry Blake. ed. Wathawurrung and the Colac language of southern Victoria. Pacific Linguistics Series C-147. Canberra 1998.;20170106;http://glottolog.org/resource/reference/id/301236;Pama-Nyungan;x;;;
deho1238;Dehong;21.78;99.72;;Yongxian Luo. 1999. A dictionary of Dehong, Southwest China. (Pacific Linguistics: Series C, 145.) Canberra: Pacific Linguistics, Australian National University. 298pp.;20170106;http://glottolog.org/resource/reference/id/43663;Tai-Kadai;x;;;
wamb1258;Wambaya;-17.50;135.68;;Rachel Nordlinger. 1998. A Grammar of Wambaya, Northern Territory (Australia). (Pacific Linguistics: Series C, 140.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xvi+320pp.;20170109;http://glottolog.org/resource/reference/id/96315;Mirndi;x;;;
yuga1244;Yugambal (Yugambeh);-27.80;153.08;;Margaret Sharpe. 1998. Dictionary of Yugambeh including Neighbouring Dialects. (Pacific Linguistics: Series C, 139.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xix+223pp. (Research School of Pacific and Asian Studies: The Australian National University: Canberra).;20170109;http://glottolog.org/resource/reference/id/143306;Pama-Nyungan;x;;;
meke1243a;Mekeo (North-West);-8.24;146.59;;Alan A. Jones. 1998. Towards a Lexicogrammar of Mekeo (An Austronesian Language of West Central Papua). (Pacific Linguistics: Series C, 138.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xx+601pp. (Publication of PhD ANU 1994.);20170109;http://glottolog.org/resource/reference/id/31843;Austronesian;x;;;
meke1243b;Mekeo (West);-8.24;146.59;;Alan A. Jones. 1998. Towards a Lexicogrammar of Mekeo (An Austronesian Language of West Central Papua). (Pacific Linguistics: Series C, 138.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xx+601pp. (Publication of PhD ANU 1994.);20170109;http://glottolog.org/resource/reference/id/31843;Austronesian;x;;;
meke1243c;Mekeo (North);-8.24;146.59;;Alan A. Jones. 1998. Towards a Lexicogrammar of Mekeo (An Austronesian Language of West Central Papua). (Pacific Linguistics: Series C, 138.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xx+601pp. (Publication of PhD ANU 1994.);20170109;http://glottolog.org/resource/reference/id/31843;Austronesian;x;;;
meke1243d;Mekeo (East);-8.24;146.59;;Alan A. Jones. 1998. Towards a Lexicogrammar of Mekeo (An Austronesian Language of West Central Papua). (Pacific Linguistics: Series C, 138.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xx+601pp. (Publication of PhD ANU 1994.);20170109;http://glottolog.org/resource/reference/id/31843;Austronesian;x;;;
mouk1240;Mouk;-5.71;149.16;;Ross, Malcolm D. (ed.) 1996. Studies in languages of New Britain and New Ireland,: 1:Austronesian languages of the North New Guinea Cluster in Northwestern New Britain. (Pacific Linguistics : Series C, Books, 135.) Canberra: Australian National Univ. ix+392pp.;20170109;http://glottolog.org/resource/reference/id/51042;Austronesian;x;;;
mouk1240a;Aria (Mouk-Aria);-5.71;149.16;;Ross, Malcolm D. (ed.) 1996. Studies in languages of New Britain and New Ireland,: 1:Austronesian languages of the North New Guinea Cluster in Northwestern New Britain. (Pacific Linguistics : Series C, Books, 135.) Canberra: Australian National Univ. ix+392pp.;20170109;http://glottolog.org/resource/reference/id/51042;Austronesian;x;;;
lamo1244;Lamogai (Mouk-Aria);-5.87;149.32;;Ross, Malcolm D. (ed.) 1996. Studies in languages of New Britain and New Ireland,: 1:Austronesian languages of the North New Guinea Cluster in Northwestern New Britain. (Pacific Linguistics : Series C, Books, 135.) Canberra: Australian National Univ. ix+392pp.;20170110;http://glottolog.org/resource/reference/id/51042;Austronesian;x;;;
nama1266;Nama (Papua New Guinea);-8.66;141.71;;Siegel, Jeff;20170119;;Morehead-Wasur;x;;;Papua
kwom1262;Kwoma;-4.09;142.66;;"Ross Bowden. Kwoma Terminology and Marriage Alliance: The 'Omaha' Problem Revisited. Man
New Series, Vol. 18, No. 4 (Dec., 1983), pp. 745-765. & Pacific Linguistics Series C 134.";20170125;;Sepik;x;;;
arab1267;Arabana;-28.70;135.45;;Luise A. Hercus. 1994. A Grammar of the Arabana-Wangkangurru Language Lake Eyre Basin, South Australia. (Pacific Linguistics: Series C, 128.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xx+324pp.;20170127;http://glottolog.org/resource/reference/id/158324;Pama-Nyungan;x;;;
wang1290;Arabana-Wangganguru;-25.81;135.94;;Luise A. Hercus. 1994. A Grammar of the Arabana-Wangkangurru Language Lake Eyre Basin, South Australia. (Pacific Linguistics: Series C, 128.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xx+324pp.;20170127;http://glottolog.org/resource/reference/id/158324;Pama-Nyungan;x;;;
yagw1240;Negwa (Yagwoia);-7.14;145.85;;Hans Fischer. Negwa. Eine Papua-Gruppe im Wandel. Klaus Renner Verlag, München, 1968.;20170127;http://glottolog.org/resource/reference/id/73107;Angan;x;;;
sout2856a;South Efate (Nafsan);-17.70;168.38;;Nicholas A. Thieberger. 2004. Topics in the Grammar and Documentation of South Efate, an Oceanic language of Central Vanuatu. University of Melbourne. Melbourne: Univ. xxviii+508pp. (Doctoral dissertation).;20170127;http://glottolog.org/resource/reference/id/35280;Austronesian;x;;;
yura1255;Yuracaré;-16.75;-65.12;;Hirtzel, Vincent. 2010. Le maïtre à deux têtes: une ethnographie du rapport a soi yuracaré (Amazonie bolivienne). École des Hautes Études en Sciences Sociales. (Doctoral dissertation).;20170220;http://glottolog.org/resource/reference/id/56659;Yuracare;x;;;
yele1255;Yele (Yélî Dnye);-11.38;154.13 ;;Levinson, Stephen C. Matrilineal Clans and Kin Terms on Rossel Island. Anthropological Linguistics Vol. 48, No. 1 (Spring, 2006), pp. 1-43 ;20170306;http://www.jstor.org/stable/25132364 ;Yele;x;;;
torr1261;Torres Strait Creole (Broken);-11.07;142.69 ;;Anna Shnukal. 1988. Broken: An Introduction to the Creole Language of Torres Strait. (Pacific Linguistics: Series C, 107.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+328pp.;20170314;http://glottolog.org/resource/reference/id/302646;Indo-European;x;;;
dhuw1249;Djapu;-12.78;136.01 ;;Austkin data, provided by Morphy (Toolbox import 2010/4/28). AND: Dixon, R. M. W. and Blake, Barry J. 1983. Handbook of Australian languages vol. 3. Australian National University Press/Amsterdam: John Benjamins. 531pp.;20170320;;Pama-Nyungan;x;;;Australia
dier1241;Diyari (Dieri);-28.17 ;138.00 ;;Elkin, A.P. n.d. The Dieri Kinship System. The Journal of the Royal Anthropological Institute of Great Britain and Ireland 61. 493–498. AND: Austkin data, Fison, L n.d. Unpublished handwritten notes. Circa 1880. pp1-2 ;20170321;http://glottolog.org/resource/reference/id/315369;Pama-Nyungan;x;;;Australia
djin1253;Djinang;-12.46;134.82 ;;Bruce Waters. An interim Djinang dictionary. Work Papers of SIL - AAB. Series B, 9 ;20170321;;Pama-Nyungan;x;;;Australia
kuku1273;Kuku Yulanji (Guguu Yulanji);-16.00;145.19;;;20170321;;Pama-Nyungan;x;;;Australia
meri1244;Meriam;-9.60;143.77;;Haddon, Alfred C. (1907). "Reports of the Cambridge Anthropological Expedition to Torres Straits." Cambridge, England: The University Press.;20170321;;Eastern Trans-Fly;x;;;Torres Strait
nyaw1247;Nyawaygi;-18.87;146.22 ;;Austkin: Source: Dixon, RMW. 1983. Nyawaygi. In R.M.W. Dixon and Barry J. Blake (eds). Handbook of Australian Languages. Canberra. ANU Press. V3: 430-525. Recorded: 1983;20170321;;Pama-Nyungan;x;;;Australia
rian1263;Riantana;-7.51 ;138.48 ;;Choi, Yun Jung Hannah. 2015. A Sketch Grammar of Riantana. Nanyang Technological University. 57pp. (MA thesis). ;20170322;http://glottolog.org/resource/reference/id/475127;Kolopom;x;;;Papua
suki1245;Suki;-8.05 ;141.84 ;;Charlotte van Tongeren;20170322;;Suki-Gogodala;x;;;Papua
mbla1238;Mblafe (N'gowugar, dialect of Mblafe);-8.56;141.23 ;;Nevermann, Hans. 1939. Die Kanum-Irebe und ihre Nachbarn. Zeitschrift für Ethnologie 71. 1-70. ;20170322;http://glottolog.org/resource/reference/id/72902;Morehead-Wasur;x;;;Papua
kanu1280;Kanum;-8.87;140.82 ;;Nevermann, Hans. 1939. Die Kanum-Irebe und ihre Nachbarn. Zeitschrift für Ethnologie 71. 1-70. ;20170322;http://glottolog.org/resource/reference/id/72902;Morehead-Wasur;x;;;Papua
kala1377;Kala Lagaw Ya;-10.67;142.20;;Haddon, Alfred C. (1907). "Reports of the Cambridge Anthropological Expedition to Torres Straits." Cambridge, England: The University Press.;20170322;;Pama-Nyungan;x;;;Torres Strait
