glotto;language name;latitude;longitude;comment;Source;author;title;publication;publisher;school;address;year;edition;entryType;booktitle;editor;link;date of entry;link to source;family;Kinship;Pronouns;ISO;Classification;location;marriage_rule
sher1255;Sherpa;27.67;87.00;;Barbara Kelly. 2004. A Grammar and Glossary of the Sherpa Language. In Carol Genetti (ed.), Tibeto-Burman Languages of Nepal: Manange and Sherpa, 193-324. Canberra: Research School of Pacific and Asian Studies, Australian National University. (Own chapter in book).;Kelly, Barbara;A Grammar and Glossary of the Sherpa Language;Carol Genetti (ed.), Tibeto-Burman Languages of Nepal: Manange and Sherpa, 193-324;Canberra: Pacific Linguistics, Australian National University;;Canberra;2004;;incollection;Tibeto-Burman Languages of Nepal: Manange and Sherpa;;;20161201;http://glottolog.org/resource/reference/id/100639;Sino-Tibetan;x;;;Sino-Tibetan > Bodic > Bodish > Old-Modern Tibetan > Tibetic > South-Western Tibetic > Sherpa-Jirel > Sherpaic > sher1255;;
kris1246;I'saka (Krisa);-2.80;141.28;;Donohue, Mark and San Roque, Lila. 2004. I'saka: a sketch grammar of a language of north-central New Guinea. (Pacific Linguistics, 554.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xvii+131pp.;Donohue, Mark and San Roque, Lila;I'saka: a sketch grammar of a language of north-central New Guinea;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2004;554;book;;;;20161201;http://glottolog.org/resource/reference/id/49601;Sko;x;;;Sko > kris1246;;
duun1241;Duungidjawu;-26.25;151.87;;Suzanne Kite and Stephen Wurm. 2004. The Duuŋidjawu language of southeast Queensland: grammar, texts and vocabulary. (Pacific Linguistics, 553.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiv+298pp. ("This is a slightly revised version of the MA Thesis by Suzanne Kite (ANU 2000) …");Kite, Suzanne and Wurm, Stephen;The Duuŋidjawu language of southeast Queensland: grammar, texts and vocabulary;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2004;553;book;;;;20161201;http://glottolog.org/resource/reference/id/1654;Pama-Nyungan;x;;;Pama-Nyungan > Southeastern Pama-Nyungan > North Coast Pama-Nyungan > Waka-Kabic > Western Waka-Kabic > Wakawaka > duun1241;;
warr1257;Warrnambool;-38.34;142.46;;Barry J. Blake. 2003. The Warrnambool Language: A consolidated account of the Aboriginal language of the Warrnambool area of the Western District of Victoria based on nineteenth-century sources. (Pacific Linguistics, 544.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+223pp;Blake, Barry J.;The Warrnambool Language: A consolidated account of the Aboriginal language of the Warrnambool area of the Western District of Victoria based on nineteenth-century sources;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2003;544;book;;;;20161201;http://glottolog.org/resource/reference/id/120945;Pama-Nyungan;x;;;Pama-Nyungan > Southeastern Pama-Nyungan > Victorian Pama-Nyungan > Kulin-Bunganditj > Warrnambool-Bunganditj > warr1257;;
kipu1237;Kiput;4.17;114.37;;Robert Blust. 2003. A short morphology, phonology and vocabulary of Kiput, Sarawak. (Pacific Linguistics, 546.) Canberra: Research School of Pacific and Asian Studies, Australian National University. vii+102pp.;Blust, Robert A.;A short morphology, phonology and vocabulary of Kiput, Sarawak;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2003;546;book;;;;20161202;http://glottolog.org/resource/reference/id/115492;Austronesian;x;;;Austronesian > Malayo-Polynesian > North Borneo Malayo-Polynesian > North Sarawakan > Berawan-Lower Baram > Lower Baram > Central Lower Baram A > kipu1237;;
bung1264;Bunganditj;-38.35;142.45;-ngayn (-ine) = my, -ngun (-on) = your, -n[h]ung = his/her;Barry J. Blake. 2003. The Bunganditj (Buwandik) Language of the Mount Gambier Region. (Pacific Linguistics, 549.) Pacific Linguistics. Research School of Pacific and Asian Studies: The Australian National University: Canberra: Research School of Pacific and Asian Studies, Australian National University. xiv+155pp;Blake, Barry J.;The Bunganditj (Buwandik) Language of the Mount Gambier Region;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2003;549;book;;;;20161202;http://glottolog.org/resource/reference/id/153741;Pama-Nyungan;x;;;Pama-Nyungan > Southeastern Pama-Nyungan > Victorian Pama-Nyungan > Kulin-Bunganditj > Warrnambool-Bunganditj > bung1264;;
buin1247;Buin;-6.63;155.46;;Laycock, Donald C. 2003. A dictionary of Buin. A language of Bougainville. Ed.: Masayuki Onishi. Canberra: Pacific Linguistics 537. Australian National University. Canberra 2003.;Laycock, Donald C.;A dictionary of Buin. A language of Bougainville;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2003;537;book;;Onishi, Masayuki;;20161202;http://glottolog.org/resource/reference/id/79195;South Bougainville;x;;;South Bougainville > buin1247;;
jingXXX2;Jingulu2;-19.64;134.16;;Robert Pensalfini. A grammar of Jingulu, An Aboriginal language of the Northern Teritory. Pacific Linguistics 536. Canberra 2003.;Pensalfini, Robert;A grammar of Jingulu, An Aboriginal language of the Northern Teritory;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2003;536;book;;;;20161202;http://glottolog.org/resource/reference/id/316432;Unknown;x;;;jingXXX2: no Classification;;
gras1249;Koiari (Grass Koiari);-9.51;147.44;;Dutton, Tom. 2003. A Dictionary of Koiari, Papua New Guinea: with grammar notes. (Pacific Linguistics, 534.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xxvi+424pp.;Dutton, Tom;A Dictionary of Koiari, Papua New Guinea: with grammar notes;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2003;534;book;;;;20161205;http://glottolog.org/resource/reference/id/101683;Koiarian;x;;;Koiarian > Koiaric > Koita-Koiari > gras1249;;
kyak1244;Kyaka;-5.52;144.12;;Draper, Norm and Draper, Sheila. 2002. Dictionary of Kyaka Enga: Papua New Guinea. (Pacific Linguistics, 532.) Canberra: Pacific Linguistics. viii+709pp.;Draper, Norm and Draper, Sheila;Dictionary of Kyaka Enga: Papua New Guinea;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2002;532;book;;;;20161205;http://glottolog.org/resource/reference/id/91175;Nuclear Trans New Guinea;x;;;Nuclear Trans New Guinea > Enga-Kewa-Huli > Engan > kyak1244;;
dhar1248;Dharumbal;-24.98;151.70;;Angela Terrill. 2002. Dharumbal: the language of Rockhampton, Australia. (Pacific Linguistics, 525.) Canberra: Research School of Pacific and Asian Studies, Australian National University. ix+108pp.;Terrill, Angela;Dharumbal: the language of Rockhampton, Australia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2002;525;book;;;;20161205;http://glottolog.org/resource/reference/id/1914;Pama-Nyungan;x;;;Pama-Nyungan > Rockhampton-Gladstone > dhar1248;;
sougXXXX;Sough;-1.36;133.63;ind-, in- = 1SG. my;Ger P. Reesink. A grammar sketch of Sough. IN: Languages of the eastern Bird's Head. Edited by Ger Reesink. Pacific Linguistics 524. Canberra 2002.;Reesink, Ger P.;A grammar sketch of Sough. IN: Languages of the eastern Bird's Head;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2002;524;book;;;;20161205;http://glottolog.org/resource/reference/id/34679;Unknown;x;;;sougXXXX: no Classification;;
arak1252;Araki;-15.63;166.94;;Alexandre François. 2002. Araki: A disappearing language of Vanuatu. (Pacific Linguistics, 522.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xviii+353pp.;François, Alexandre;Araki: A disappearing language of Vanuatu;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2002;522;book;;;;20161205;http://glottolog.org/resource/reference/id/97023;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > North and Central Vanuatu > Northern Vanuatu > Espiritu Santo > South Santo > arak1252;;
limi1242;Limilngan;-12.43;131.84;;Mark Harvey. 2001. A Grammar of Limilngan: A Language of the Mary River region Northern Territory Australia. (Pacific Linguistics, 516.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xii+209pp;Harvey, Mark;A Grammar of Limilngan: A Language of the Mary River region Northern Territory Australia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;516;book;;;;20161205;http://glottolog.org/resource/reference/id/300875;Limilngan-Wulna;x;;;limi1242: no Classification;;
anei1239;Anejom;-20.19;169.82;;Lynch, John and Tepahae, Philip. 2001. Anejom dictionary Diksonari blong Anejom. (Pacific Linguistics, 510.) Canberra: Pacific Linguistics. 450pp.;Lynch, John and Tepahae, Philip;Anejom dictionary Diksonari blong Anejom;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;510;book;;;;20161207;http://glottolog.org/resource/reference/id/139817;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southern Melanesian > Southern Vanuatu > anei1239;;
bala1314;Balaesang;-0.06;119.69;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Southern Tomini > bala1314;;
damp1237;Dampelas;0.70;120.22;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Southern Tomini > damp1237;;
taje1237a;Petapa Taje;-0.73;120.08;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;taje1237a: no Classification;;
taje1237b;Tanampedagi Taje;-0.49;119.99;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;taje1237b: no Classification;;
pend1242;Pendau;-0.11;119.86;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Southern Tomini > pend1242;;
taji1246;Tajio;-0.32;120.01;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Southern Tomini > taji1246;;
ampi1237;Ampibabo Lauje;-0.38;119.99;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Northern Tomini > Lauje > ampi1237;;
lauj1238;Lauje;0.51;120.26;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Northern Tomini > lauj1238;;
tomi1243;Tialo (Tomini);0.43;120.89;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Northern Tomini > tomi1243;;
dond1249;Dondo;0.80;120.71;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tominic > Northern Tomini > dond1249;;
toto1304;Totoli;1.15;120.88;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tolitoli > toto1304;;
boan1243;Boano (Sulawesi);0.51;120.99;;Himmelmann, Nikolaus P. 2001. Sourcebook on Tomini-Tolitoli languages: general information and word lists. (Pacific Linguistics, 511.) Canberra: Pacific Linguistics. Research School of Pacific and Asian Studies. ANU. xxii+436pp.;Himmelmann, Nikolaus P.;Sourcebook on Tomini-Tolitoli languages: general information and word lists;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2001;511;book;;;;20161207;http://glottolog.org/resource/reference/id/141699;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Tomini-Tolitoli > Tolitoli > boan1243;;
siee1239;Sie (Sye);-18.82;169.17;;Crowley, Terry. 2000. An Erromangan (Sye) dictionary. (Pacific Linguistics, 508.) Canberra: Pacific Linguistics. xxxi+250pp.;Crowley, Terry;An Erromangan (Sye) dictionary;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2000;508;book;;;;20161208;http://glottolog.org/resource/reference/id/41979;Austronesian;x;;;Austronesian > Malayo-Polynesian > Central-Eastern Malayo-Polynesian > Eastern Malayo-Polynesian > Oceanic > Southern Melanesian > Southern Vanuatu > Erromanga > siee1239;;
chep1245;Chepang;27.72;84.90;;Caughley, Ross C. 2000. Dictionary of Chepang: a Tibeto-Burman language of Nepal. (Pacific Linguistics, 502.) Canberra: Research School of Pacific and Asian Studies, Australian National University. ix+540pp.;Caughley, Ross C.;Dictionary of Chepang: a Tibeto-Burman language of Nepal;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;2000;502;book;;;;20161208;http://glottolog.org/resource/reference/id/141638;Sino-Tibetan;x;;;Sino-Tibetan > Himalayish > Mahakiranti > Kham-Magar-Chepang > Chepangic > chep1245;;
moro1287;Moronene;-4.62;121.82;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > moro1287;;
kaba1285;Tokotu'a (Kabaena);-5.27;121.79;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > Moronene > kaba1285;;
tola1247;Tolaki;-4.04;121.89;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Western Bungku-Tolaki > West Coast Bungku-Tolaki > tola1247;;
kuli1254;Kulisusu;-4.58;123.05;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > kuli1254;;
koro1311;Koroni;-2.64;121.98;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > koro1311;;
wawo1239;Wawonii;-4.14;123.10;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > wawo1239;;
menu1237;Menui;-3.59;123.11;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > Wawonii > menu1237;;
land1259;Landawe;-3.01;122.22;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > Bungku > land1259;;
tula1253;Tulambatu;-3.05;122.28;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > Bungku > tula1253;;
waia1242;Waia;-3.08;122.32;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > Bungku > waia1242;;
tore1237;Torete;-3.01;122.24;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > Bungku > tore1237;;
bung1269;Bungku;-3.22;122.21;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > bung1269;;
rout1237;Routa;-2.87;121.60;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > Bungku > rout1237;;
baho1237;Bahonsuai;-2.23;121.71;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > baho1237;;
mori1268;Mori Bawah;-2.56;121.37;;David E. Mead. 1999. The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia. (Pacific Linguistics: Series D, 91.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xi+188pp.;Mead, David E.;The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia;Pacific Linguistics;Canberra: Pacific Linguistics, Australian National University;;Canberra;1999;D-91;book;;;;20161209;http://glottolog.org/resource/reference/id/161612;Austronesian;x;;;Austronesian > Malayo-Polynesian > Celebic > Eastern Celebic > Southeastern Celebic > Bungku-Tolaki > Eastern Bungku-Tolaki > East Coast Bungku-Tolaki > mori1268;;
